Keyword,Vol,CPC,Comp
flipkart,30400000,$0.01,0.13
amazon smile,2240000,$0.19,0.03
amazon customer service,823000,$0.57,0.02
amazon prime music,550000,$0.18,0.09
amazon login,450000,$0.05,0.17
amazon careers,368000,$1.04,0.07
amazon prime student,201000,$0.07,0.12
amazon mobile,165000,$0.12,0.99
amazon online shopping clothes,135000,$0.05,0.99
amazon prime cost,74000,$0.24,0.18
amazon prime video app,60500,$0.28,0.17
amazon prime deals,49500,$0.37,1
amazon prime video tv shows,14800,$0.76,0.16
amazon videos,10800,$0.14,0.14
amazon offices,1310,$0.35,0.32
smile amazon,420,$0.45,0.03
amazon video youtube,390,$0.67,0.11
amazon indonesia career,110,$0.13,0.04
amazon youtube channel,90,$0.00,0.04
amazon video the post,40,$1.07,0.14
videos on amazon,30,$0.14,0.14
siri and alexa commercial,10,$0.03,0.08
amazon echo youtube channel,0,$0.00,0
amazon culture video,0,$0.00,0
amazon linkedin banner,0,$0.00,0
aws linkedin group,0,$0.00,0
aws number of employees 2018,0,$0.00,0
google co uk linkedin,0,$0.00,0
linkedin the new facebook,0,$0.00,0
